cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2022-48618	Apple	"Multiple Products"	"Apple Multiple Products Memory Corruption Vulnerability"	2024-01-31	"Apple iOS	 iPadOS	 macOS	 tvOS	 and watchOS contain a time-of-check/time-of-use (TOCTOU) memory corruption vulnerability that allows an attacker with read and write capabilities to bypass Pointer Authentication."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-02-21,Unknown,"https://support.apple.com/en-us/HT213530, https://support.apple.com/en-us/HT213532, https://support.apple.com/en-us/HT213535, https://support.apple.com/en-us/HT213536;  https://nvd.nist.gov/vuln/detail/CVE-2022-48618",CWE-367
CVE-2022-22071	Qualcomm	"Multiple Chipsets"	"Qualcomm Multiple Chipsets Use-After-Free Vulnerability"	2023-12-05	"Multiple Qualcomm chipsets contain a use-after-free vulnerability when process shell memory is freed using IOCTL munmap call and process initialization is in progress."	"Apply remediations or mitigations per vendor instructions or discontinue use of the product if remediation or mitigations are unavailable."	2023-12-26	Unknown	"This vulnerability affects a common open-source component	 third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://git.codelinaro.org/clo/la/kernel/msm-5.4/-/commit/586840fde350d7b8563df9889c8ce397e2c20dda;  https://nvd.nist.gov/vuln/detail/CVE-2022-22071",CWE-416
CVE-2022-22265	Samsung	"Mobile Devices"	"Samsung Mobile Devices Use-After-Free Vulnerability"	2023-09-18	"Samsung devices with selected Exynos chipsets contain a use-after-free vulnerability that allows malicious memory write and code execution."	"Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable."	2023-10-09	Unknown	"https://security.samsungmobile.com/securityUpdate.smsb?year=2022&month=1;  https://nvd.nist.gov/vuln/detail/CVE-2022-22265"	CWE-703
CVE-2022-29303	SolarView	Compact	"SolarView Compact Command Injection Vulnerability"	2023-07-13	"SolarView Compact contains a command injection vulnerability due to improper validation of input values on the send test mail console of the product's web server."	"Apply updates per vendor instructions or discontinue use of the product if updates are unavailable."	2023-08-03	Unknown	"https://jvn.jp/en/vu/JVNVU92327282/;  https://nvd.nist.gov/vuln/detail/CVE-2022-29303"	CWE-78
CVE-2022-31199	Netwrix	Auditor	"Netwrix Auditor Insecure Object Deserialization Vulnerability"	2023-07-11	"Netwrix Auditor User Activity Video Recording component contains an insecure objection deserialization vulnerability that allows an unauthenticated	 remote attacker to execute code as the NT AUTHORITY\SYSTEM user. Successful exploitation requires that the attacker is able to reach port 9004/TCP	 which is commonly blocked by standard enterprise firewalling."	"Apply updates per vendor instructions or discontinue use of the product if updates are unavailable."	2023-08-01	Known,"Patch application requires login to customer portal: https://security.netwrix.com/Account/SignIn?ReturnUrl=%2FAdvisories%2FADV-2022-003;  https://nvd.nist.gov/vuln/detail/CVE-2022-31199","CWE-502, CWE-122"
CVE-2022-27926	Synacor	"Zimbra Collaboration Suite (ZCS)"	"Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting (XSS) Vulnerability"	2023-04-03	"Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability by allowing an endpoint URL to accept parameters without sanitizing."	"Apply updates per vendor instructions."	2023-04-24	Unknown	"https://wiki.zimbra.com/wiki/Security_Center;  https://nvd.nist.gov/vuln/detail/CVE-2022-27926"	"CWE-79, CWE-138"
CVE-2022-42948	Fortra	"Cobalt Strike"	"Fortra Cobalt Strike User Interface Remote Code Execution Vulnerability"	2023-03-30	"Fortra Cobalt Strike User Interface contains an unspecified vulnerability rooted in Java Swing that may allow remote code execution."	"Apply updates per vendor instructions."	2023-04-20	Unknown	"https://www.cobaltstrike.com/blog/out-of-band-update-cobalt-strike-4-7-2/;  https://nvd.nist.gov/vuln/detail/CVE-2022-42948"	"CWE-79, CWE-116"
CVE-2022-39197	Fortra	"Cobalt Strike"	"Fortra Cobalt Strike Teamserver Cross-Site Scripting (XSS) Vulnerability"	2023-03-30	"Fortra Cobalt Strike contains a cross-site scripting (XSS) vulnerability in Teamserver that would allow an attacker to set a malformed username in the Beacon configuration	 allowing them to execute code remotely."	"Apply updates per vendor instructions."	2023-04-20	Unknown	"https://www.cobaltstrike.com/blog/out-of-band-update-cobalt-strike-4-7-1/;  https://nvd.nist.gov/vuln/detail/CVE-2022-39197","CWE-20, CWE-79"
CVE-2022-38181	Arm	"Mali Graphics Processing Unit (GPU)"	"Arm Mali GPU Kernel Driver Use-After-Free Vulnerability"	2023-03-30	"Arm Mali GPU Kernel Driver contains a use-after-free vulnerability that may allow a non-privileged user to gain root privilege and/or disclose information."	"Apply updates per vendor instructions."	2023-04-20	Unknown	"https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities;  https://nvd.nist.gov/vuln/detail/CVE-2022-38181"	CWE-416
CVE-2022-3038	Google	"Chromium Network Service"	"Google Chromium Network Service Use-After-Free Vulnerability"	2023-03-30	"Google Chromium Network Service contains a use-after-free vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome	 Microsoft Edge	 and Opera.","Apply updates per vendor instructions.",2023-04-20,Unknown,"https://chromereleases.googleblog.com/2022/08/stable-channel-update-for-desktop_30.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-3038",CWE-416
CVE-2022-22706	Arm	"Mali Graphics Processing Unit (GPU)"	"Arm Mali GPU Kernel Driver Unspecified Vulnerability"	2023-03-30	"Arm Mali GPU Kernel Driver contains an unspecified vulnerability that allows a non-privileged user to achieve write access to read-only memory pages."	"Apply updates per vendor instructions."	2023-04-20	Unknown	"https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities;  https://nvd.nist.gov/vuln/detail/CVE-2022-22706"	CWE-119
CVE-2022-41328	Fortinet	FortiOS	"Fortinet FortiOS Path Traversal Vulnerability"	2023-03-14	"Fortinet FortiOS contains a path traversal vulnerability that may allow a local privileged attacker to read and write files via crafted CLI commands."	"Apply updates per vendor instructions."	2023-04-04	Unknown	"https://www.fortiguard.com/psirt/FG-IR-22-369;  https://nvd.nist.gov/vuln/detail/CVE-2022-41328"	CWE-22
CVE-2022-28810	Zoho	ManageEngine	"Zoho ManageEngine ADSelfService Plus Remote Code Execution Vulnerability"	2023-03-07	"Zoho ManageEngine ADSelfService Plus contains an unspecified vulnerability allowing for remote code execution when performing a password change or reset."	"Apply updates per vendor instructions."	2023-03-28	Unknown	"https://www.manageengine.com/products/self-service-password/advisory/CVE-2022-28810.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-28810"	"CWE-78, CWE-259"
CVE-2022-33891	Apache	Spark	"Apache Spark Command Injection Vulnerability"	2023-03-07	"Apache Spark contains a command injection vulnerability via Spark User Interface (UI) when Access Control Lists (ACLs) are enabled."	"Apply updates per vendor instructions."	2023-03-28	Unknown	"https://lists.apache.org/thread/p847l3kopoo5bjtmxrcwk21xp6tjxqlc;  https://nvd.nist.gov/vuln/detail/CVE-2022-33891"	CWE-78
CVE-2022-35914	Teclib	GLPI	"Teclib GLPI Remote Code Execution Vulnerability"	2023-03-07	"Teclib GLPI contains a remote code execution vulnerability in the third-party library	 htmlawed."	"Apply updates per vendor instructions."	2023-03-28	Unknown	"https://glpi-project.org/fr/glpi-10-0-3-disponible/, http://www.bioinformatics.org/phplabware/sourceer/sourceer.php?&Sfs=htmLawedTest.php&Sl=.%2Finternal_utilities%2FhtmLawed.;  https://nvd.nist.gov/vuln/detail/CVE-2022-35914",CWE-74
CVE-2022-36537	"ZK Framework"	AuUploader	"ZK Framework AuUploader Unspecified Vulnerability"	2023-02-27	"ZK Framework AuUploader servlets contain an unspecified vulnerability that could allow an attacker to retrieve the content of a file located in the web context. The ZK Framework is an open-source Java framework. This vulnerability can impact multiple products	 including but not limited to ConnectWise R1Soft Server Backup Manager."	"Apply updates per vendor instructions."	2023-03-20	Known	"https://tracker.zkoss.org/browse/ZK-5150;  https://nvd.nist.gov/vuln/detail/CVE-2022-36537",CWE-441
CVE-2022-47986	IBM	"Aspera Faspex"	"IBM Aspera Faspex Code Execution Vulnerability"	2023-02-21	"IBM Aspera Faspex could allow a remote attacker to execute code on the system	 caused by a YAML deserialization flaw."	"Apply updates per vendor instructions."	2023-03-14	Known	"https://exchange.xforce.ibmcloud.com/vulnerabilities/243512?_ga=2.189195179.1800390251.1676559338-700333034.1676325890;  https://nvd.nist.gov/vuln/detail/CVE-2022-47986",CWE-502
CVE-2022-41223	Mitel	"MiVoice Connect"	"Mitel MiVoice Connect Code Injection Vulnerability"	2023-02-21	"The Director component in Mitel MiVoice Connect allows an authenticated attacker with internal network access to execute code within the context of the application."	"Apply updates per vendor instructions."	2023-03-14	Known	"https://www.mitel.com/support/security-advisories/mitel-product-security-advisory-22-0008;  https://nvd.nist.gov/vuln/detail/CVE-2022-41223"	CWE-94
CVE-2022-40765	Mitel	"MiVoice Connect"	"Mitel MiVoice Connect Command Injection Vulnerability"	2023-02-21	"The Mitel Edge Gateway component of MiVoice Connect allows an authenticated attacker with internal network access to execute commands within the context of the system."	"Apply updates per vendor instructions."	2023-03-14	Known	"https://www.mitel.com/support/security-advisories/mitel-product-security-advisory-22-0007;  https://nvd.nist.gov/vuln/detail/CVE-2022-40765"	CWE-77
CVE-2022-46169	Cacti	Cacti	"Cacti Command Injection Vulnerability"	2023-02-16	"Cacti contains a command injection vulnerability that allows an unauthenticated user to execute code."	"Apply updates per vendor instructions."	2023-03-09	Unknown	"https://github.com/Cacti/cacti/security/advisories/GHSA-6p93-p743-35gf;  https://nvd.nist.gov/vuln/detail/CVE-2022-46169"	CWE-74
CVE-2022-24990	TerraMaster	"TerraMaster OS"	"TerraMaster OS Remote Command Execution Vulnerability"	2023-02-10	"TerraMaster OS contains a remote command execution vulnerability that allows an unauthenticated user to execute commands on the target endpoint."	"Apply updates per vendor instructions."	2023-03-03	Known	"https://forum.terra-master.com/en/viewtopic.php?t=3030;  https://nvd.nist.gov/vuln/detail/CVE-2022-24990"	CWE-306
CVE-2022-21587	Oracle	"E-Business Suite"	"Oracle E-Business Suite Unspecified Vulnerability"	2023-02-02	"Oracle E-Business Suite contains an unspecified vulnerability that allows an unauthenticated attacker with network access via HTTP to compromise Oracle Web Applications Desktop Integrator."	"Apply updates per vendor instructions."	2023-02-23	Known	"https://www.oracle.com/security-alerts/cpuoct2022.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-21587"	CWE-306
CVE-2022-47966	Zoho	ManageEngine	"Zoho ManageEngine Multiple Products Remote Code Execution Vulnerability"	2023-01-23	"Multiple Zoho ManageEngine products contain an unauthenticated remote code execution vulnerability due to the usage of an outdated third-party dependency	 Apache Santuario."	"Apply updates per vendor instructions."	2023-02-13	Known	"https://www.manageengine.com/security/advisory/CVE/cve-2022-47966.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-47966"
CVE-2022-44877	CWP	"Control Web Panel"	"CWP Control Web Panel OS Command Injection Vulnerability"	2023-01-17	"CWP Control Web Panel (formerly CentOS Web Panel) contains an OS command injection vulnerability that allows remote attackers to execute commands via shell metacharacters in the login parameter."	"Apply updates per vendor instructions."	2023-02-07	Unknown	"https://control-webpanel.com/changelog#1669855527714-450fb335-6194;  https://nvd.nist.gov/vuln/detail/CVE-2022-44877"	CWE-78
CVE-2022-41080	Microsoft	"Exchange Server"	"Microsoft Exchange Server Privilege Escalation Vulnerability"	2023-01-10	"Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation. This vulnerability is chainable with CVE-2022-41082	 which allows for remote code execution."	"Apply updates per vendor instructions."	2023-01-31	Known	"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-41080;  https://nvd.nist.gov/vuln/detail/CVE-2022-41080"
CVE-2022-42856	Apple	iOS	"Apple iOS Type Confusion Vulnerability"	2022-12-14	"Apple iOS contains a type confusion vulnerability when processing maliciously crafted web content leading to code execution."	"Apply updates per vendor instructions."	2023-01-04	Unknown	"https://support.apple.com/en-us/HT213516;  https://nvd.nist.gov/vuln/detail/CVE-2022-42856"	CWE-843
CVE-2022-42475	Fortinet	FortiOS	"Fortinet FortiOS Heap-Based Buffer Overflow Vulnerability"	2022-12-13	"Multiple versions of Fortinet FortiOS SSL-VPN contain a heap-based buffer overflow vulnerability which can allow an unauthenticated	 remote attacker to execute arbitrary code or commands via specifically crafted requests."	"Apply updates per vendor instructions."	2023-01-03	Known	"https://www.fortiguard.com/psirt/FG-IR-22-398;  https://nvd.nist.gov/vuln/detail/CVE-2022-42475",CWE-197
CVE-2022-44698	Microsoft	Defender	"Microsoft Defender SmartScreen Security Feature Bypass Vulnerability"	2022-12-13	"Microsoft Defender SmartScreen contains a security feature bypass vulnerability that could allow an attacker to evade Mark of the Web (MOTW) defenses via a specially crafted malicious file."	"Apply updates per vendor instructions."	2023-01-03	Known	"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-44698;  https://nvd.nist.gov/vuln/detail/CVE-2022-44698"	CWE-755
CVE-2022-27518	Citrix	"Application Delivery Controller (ADC) and Gateway"	"Citrix Application Delivery Controller (ADC) and Gateway Authentication Bypass Vulnerability"	2022-12-13	"Citrix Application Delivery Controller (ADC) and Gateway	 when configured with SAML SP or IdP configuration	 contain an authentication bypass vulnerability that allows an attacker to execute code as administrator."	"Apply updates per vendor instructions."	2023-01-03	Unknown,"https://www.citrix.com/blogs/2022/12/13/critical-security-update-now-available-for-citrix-adc-citrix-gateway/;  https://nvd.nist.gov/vuln/detail/CVE-2022-27518",CWE-664
CVE-2022-26500	Veeam	"Backup & Replication"	"Veeam Backup & Replication Remote Code Execution Vulnerability"	2022-12-13	"The Veeam Distribution Service in the Backup & Replication application allows unauthenticated users to access internal API functions. A remote attacker can send input to the internal API which may lead to uploading and executing of malicious code."	"Apply updates per vendor instructions."	2023-01-03	Known	"https://www.veeam.com/kb4288;  https://nvd.nist.gov/vuln/detail/CVE-2022-26500"	CWE-22
CVE-2022-26501	Veeam	"Backup & Replication"	"Veeam Backup & Replication Remote Code Execution Vulnerability"	2022-12-13	"The Veeam Distribution Service in the Backup & Replication application allows unauthenticated users to access internal API functions. A remote attacker can send input to the internal API which may lead to uploading and executing of malicious code."	"Apply updates per vendor instructions."	2023-01-03	Known	"https://www.veeam.com/kb4288;  https://nvd.nist.gov/vuln/detail/CVE-2022-26501"	CWE-306
CVE-2022-4262	Google	"Chromium V8"	"Google Chromium V8 Type Confusion Vulnerability"	2022-12-05	"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome	 Microsoft Edge	 and Opera.","Apply updates per vendor instructions.",2022-12-26,Unknown,"https://chromereleases.googleblog.com/2022/12/stable-channel-update-for-desktop.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-4262","CWE-122, CWE-843"
CVE-2022-4135	Google	"Chromium GPU"	"Google Chromium GPU Heap Buffer Overflow Vulnerability"	2022-11-28	"Google Chromium GPU contains a heap buffer overflow vulnerability that allows a remote attacker	 who has compromised the renderer process	 to potentially perform a sandbox escape via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome, Microsoft Edge, and Opera.","Apply updates per vendor instructions.",2022-12-19,Unknown,"https://chromereleases.googleblog.com/2022/11/stable-channel-update-for-desktop_24.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-4135",CWE-787
CVE-2022-41049	Microsoft	Windows	"Microsoft Windows Mark of the Web (MOTW) Security Feature Bypass Vulnerability"	2022-11-14	"Microsoft Windows Mark of the Web (MOTW) contains a security feature bypass vulnerability resulting in a limited loss of integrity and availability of security features."	"Apply updates per vendor instructions."	2022-12-09	Unknown	"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-41049;  https://nvd.nist.gov/vuln/detail/CVE-2022-41049"	CWE-274
CVE-2022-41091	Microsoft	Windows	"Microsoft Windows Mark of the Web (MOTW) Security Feature Bypass Vulnerability"	2022-11-08	"Microsoft Windows Mark of the Web (MOTW) contains a security feature bypass vulnerability resulting in a limited loss of integrity and availability of security features."	"Apply updates per vendor instructions."	2022-12-09	Unknown	"https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-41091;  https://nvd.nist.gov/vuln/detail/CVE-2022-41091"	CWE-863
CVE-2022-41073	Microsoft	Windows	"Microsoft Windows Print Spooler Privilege Escalation Vulnerability"	2022-11-08	"Microsoft Windows Print Spooler contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges."	"Apply updates per vendor instructions."	2022-12-09	Known	"https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-41073;  https://nvd.nist.gov/vuln/detail/CVE-2022-41073"	CWE-787
CVE-2022-41125	Microsoft	Windows	"Microsoft Windows CNG Key Isolation Service Privilege Escalation Vulnerability"	2022-11-08	"Microsoft Windows Cryptographic Next Generation (CNG) Key Isolation Service contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges."	"Apply updates per vendor instructions."	2022-12-09	Unknown	"https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-41125;  https://nvd.nist.gov/vuln/detail/CVE-2022-41125"	CWE-787
CVE-2022-41128	Microsoft	Windows	"Microsoft Windows Scripting Languages Remote Code Execution Vulnerability"	2022-11-08	"Microsoft Windows contains an unspecified vulnerability in the JScript9 scripting language which allows for remote code execution."	"Apply updates per vendor instructions."	2022-12-09	Unknown	"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41128;  https://nvd.nist.gov/vuln/detail/CVE-2022-41128"	CWE-787
CVE-2022-3723	Google	"Chromium V8"	"Google Chromium V8 Type Confusion Vulnerability"	2022-10-28	"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome	 Microsoft Edge	 and Opera.","Apply updates per vendor instructions.",2022-11-18,Unknown,"https://chromereleases.googleblog.com/2022/10/stable-channel-update-for-desktop_27.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-3723","CWE-122, CWE-843"
CVE-2022-42827	Apple	"iOS and iPadOS"	"Apple iOS and iPadOS Out-of-Bounds Write Vulnerability"	2022-10-25	"Apple iOS and iPadOS kernel contain an out-of-bounds write vulnerability which can allow an application to perform code execution with kernel privileges."	"Apply updates per vendor instructions."	2022-11-15	Unknown	"https://support.apple.com/en-us/HT213489;  https://nvd.nist.gov/vuln/detail/CVE-2022-42827"	"CWE-20, CWE-787"
CVE-2022-41352	Synacor	"Zimbra Collaboration Suite (ZCS)"	"Synacor Zimbra Collaboration Suite (ZCS) Arbitrary File Upload Vulnerability"	2022-10-20	"Synacor Zimbra Collaboration Suite (ZCS) allows an attacker to upload arbitrary files using cpio package to gain incorrect access to any other user accounts."	"Apply updates per vendor instructions."	2022-11-10	Unknown	"https://wiki.zimbra.com/wiki/Security_Center;  https://nvd.nist.gov/vuln/detail/CVE-2022-41352"	CWE-22
CVE-2022-40684	Fortinet	"Multiple Products"	"Fortinet Multiple Products Authentication Bypass Vulnerability"	2022-10-11	"Fortinet FortiOS	 FortiProxy	 and FortiSwitchManager contain an authentication bypass vulnerability that could allow an unauthenticated attacker to perform operations on the administrative interface via specially crafted HTTP or HTTPS requests."	"Apply updates per vendor instructions."	2022-11-01	Known,"https://www.fortiguard.com/psirt/FG-IR-22-377;  https://nvd.nist.gov/vuln/detail/CVE-2022-40684",CWE-288
CVE-2022-41033	Microsoft	"Windows COM+ Event System Service"	"Microsoft Windows COM+ Event System Service Privilege Escalation Vulnerability"	2022-10-11	"Microsoft Windows COM+ Event System Service contains an unspecified vulnerability that allows for privilege escalation."	"Apply updates per vendor instructions."	2022-11-01	Unknown	"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-41033;  https://nvd.nist.gov/vuln/detail/CVE-2022-41033"	CWE-843
CVE-2022-41082	Microsoft	"Exchange Server"	"Microsoft Exchange Server Remote Code Execution Vulnerability"	2022-09-30	"Microsoft Exchange Server contains an unspecified vulnerability that allows for authenticated remote code execution. Dubbed ""ProxyNotShell	"" this vulnerability is chainable with CVE-2022-41040 which allows for the remote code execution."	"Apply updates per vendor instructions."	2022-10-21	Known	"https://msrc-blog.microsoft.com/2022/09/29/customer-guidance-for-reported-zero-day-vulnerabilities-in-microsoft-exchange-server/;  https://nvd.nist.gov/vuln/detail/CVE-2022-41082",CWE-502
CVE-2022-41040	Microsoft	"Exchange Server"	"Microsoft Exchange Server Server-Side Request Forgery Vulnerability"	2022-09-30	"Microsoft Exchange Server allows for server-side request forgery. Dubbed ""ProxyNotShell	"" this vulnerability is chainable with CVE-2022-41082 which allows for remote code execution."	"Apply updates per vendor instructions."	2022-10-21	Known	"https://msrc-blog.microsoft.com/2022/09/29/customer-guidance-for-reported-zero-day-vulnerabilities-in-microsoft-exchange-server/;  https://nvd.nist.gov/vuln/detail/CVE-2022-41040",CWE-918
CVE-2022-36804	Atlassian	"Bitbucket Server and Data Center"	"Atlassian Bitbucket Server and Data Center Command Injection Vulnerability"	2022-09-30	"Multiple API endpoints of Atlassian Bitbucket Server and Data Center contain a command injection vulnerability where an attacker with access to a public Bitbucket repository	 or with read permissions to a private one	 can execute code by sending a malicious HTTP request."	"Apply updates per vendor instructions."	2022-10-21	Unknown,"https://jira.atlassian.com/browse/BSERV-13438;  https://nvd.nist.gov/vuln/detail/CVE-2022-36804","CWE-78, CWE-88, CWE-158"
