cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2024-38014,Microsoft,Windows,"Microsoft Windows Installer Improper Privilege Management Vulnerability",2024-09-10,"Microsoft Windows Installer contains an improper privilege management vulnerability that could allow an attacker to gain SYSTEM privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-10-01,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38014; https://nvd.nist.gov/vuln/detail/CVE-2024-38014",CWE-269
CVE-2024-38226,Microsoft,Publisher,"Microsoft Publisher Protection Mechanism Failure Vulnerability",2024-09-10,"Microsoft Publisher contains a protection mechanism failure vulnerability that allows attacker to bypass Office macro policies used to block untrusted or malicious files.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-10-01,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38226; https://nvd.nist.gov/vuln/detail/CVE-2024-38226",CWE-693
CVE-2024-38856,Apache,OFBiz,"Apache OFBiz Incorrect Authorization Vulnerability",2024-08-27,"Apache OFBiz contains an incorrect authorization vulnerability that could allow remote code execution via a Groovy payload in the context of the OFBiz user process by an unauthenticated attacker.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-17,Unknown,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/olxxjk6b13sl3wh9cmp0k2dscvp24l7w; https://nvd.nist.gov/vuln/detail/CVE-2024-38856",CWE-863
CVE-2024-39717,Versa,Director,"Versa Director Dangerous File Type Upload Vulnerability",2024-08-23,"The Versa Director GUI contains an unrestricted upload of file with dangerous type vulnerability that allows administrators with Provider-Data-Center-Admin or Provider-Data-Center-System-Admin privileges to customize the user interface. The “Change Favicon” (Favorite Icon) enables the upload of a .png file, which can be exploited to upload a malicious file with a .png extension disguised as an image.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-13,Unknown,"https://versa-networks.com/blog/versa-security-bulletin-update-on-cve-2024-39717-versa-director-dangerous-file-type-upload-vulnerability/;   https://nvd.nist.gov/vuln/detail/CVE-2024-39717",CWE-434
CVE-2024-38107,Microsoft,Windows,"Microsoft Windows Power Dependency Coordinator Privilege Escalation Vulnerability",2024-08-13,"Microsoft Windows Power Dependency Coordinator contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to obtain SYSTEM privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-03,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38107; https://nvd.nist.gov/vuln/detail/CVE-2024-38107",CWE-416
CVE-2024-38106,Microsoft,Windows,"Microsoft Windows Kernel Privilege Escalation Vulnerability",2024-08-13,"Microsoft Windows Kernel contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges. Successful exploitation of this vulnerability requires an attacker to win a race condition.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-03,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38106; https://nvd.nist.gov/vuln/detail/CVE-2024-38106",CWE-591
CVE-2024-38193,Microsoft,Windows,"Microsoft Windows Ancillary Function Driver for WinSock Privilege Escalation Vulnerability",2024-08-13,"Microsoft Windows Ancillary Function Driver for WinSock contains an unspecified vulnerability that allows for privilege escalation, enabling a local attacker to gain SYSTEM privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-03,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38193; https://nvd.nist.gov/vuln/detail/CVE-2024-38193",CWE-416
CVE-2024-38213,Microsoft,Windows,"Microsoft Windows SmartScreen Security Feature Bypass Vulnerability",2024-08-13,"Microsoft Windows SmartScreen contains a security feature bypass vulnerability that allows an attacker to bypass the SmartScreen user experience via a malicious file.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-03,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38213; https://nvd.nist.gov/vuln/detail/CVE-2024-38213",CWE-693
CVE-2024-38178,Microsoft,Windows,"Microsoft Windows Scripting Engine Memory Corruption Vulnerability",2024-08-13,"Microsoft Windows Scripting Engine contains a memory corruption vulnerability that allows unauthenticated attacker to initiate remote code execution via a specially crafted URL.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-03,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38178; https://nvd.nist.gov/vuln/detail/CVE-2024-38178",CWE-843
CVE-2024-38189,Microsoft,Project,"Microsoft Project Remote Code Execution Vulnerability ",2024-08-13,"Microsoft Project contains an unspecified vulnerability that allows for remote code execution via a malicious file.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-03,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38189; https://nvd.nist.gov/vuln/detail/CVE-2024-38189",CWE-20
CVE-2024-32113,Apache,OFBiz,"Apache OFBiz Path Traversal Vulnerability",2024-08-07,"Apache OFBiz contains a path traversal vulnerability that could allow for remote code execution.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-28,Unknown,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/w6s60okgkxp2th1sr8vx0ndmgk68fqrd; https://nvd.nist.gov/vuln/detail/CVE-2024-32113",CWE-22
CVE-2024-36971,Android,Kernel,"Android Kernel Remote Code Execution Vulnerability",2024-08-07,"Android contains an unspecified vulnerability in the kernel that allows for remote code execution. This vulnerability resides in Linux Kernel and could impact other products, including but not limited to Android OS.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-28,Unknown,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see:   https://source.android.com/docs/security/bulletin/2024-08-01,  https://lore.kernel.org/linux-cve-announce/20240610090330.1347021-2-lee@kernel.org/T/#u ; https://nvd.nist.gov/vuln/detail/CVE-2024-36971",CWE-416
CVE-2024-37085,VMware,ESXi,"VMware ESXi Authentication Bypass Vulnerability",2024-07-30,"VMware ESXi contains an authentication bypass vulnerability. A malicious actor with sufficient Active Directory (AD) permissions can gain full access to an ESXi host that was previously configured to use AD for user management by re-creating the configured AD group ('ESXi Admins' by default) after it was deleted from AD.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-20,Known,"https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24505;   https://nvd.nist.gov/vuln/detail/CVE-2024-37085",CWE-305
CVE-2024-39891,Twilio,Authy,"Twilio Authy Information Disclosure Vulnerability",2024-07-23,"Twilio Authy contains an information disclosure vulnerability in its API that allows an unauthenticated endpoint to accept a request containing a phone number and respond with information about whether the phone number was registered with Authy.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-13,Unknown,"https://www.twilio.com/en-us/changelog/Security_Alert_Authy_App_Android_iOS; https://nvd.nist.gov/vuln/detail/CVE-2024-39891",CWE-203
CVE-2024-34102,Adobe,"Commerce and Magento Open Source","Adobe Commerce and Magento Open Source Improper Restriction of XML External Entity Reference (XXE) Vulnerability",2024-07-17,"Adobe Commerce and Magento Open Source contain an improper restriction of XML external entity reference (XXE) vulnerability that allows for remote code execution.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-07,Unknown,"https://helpx.adobe.com/security/products/magento/apsb24-40.html;  https://nvd.nist.gov/vuln/detail/CVE-2024-34102",CWE-611
CVE-2024-36401,OSGeo,GeoServer,"OSGeo GeoServer GeoTools Eval Injection Vulnerability",2024-07-15,"OSGeo GeoServer GeoTools contains an improper neutralization of directives in dynamically evaluated code vulnerability due to unsafely evaluating property names as XPath expressions. This allows unauthenticated attackers to conduct remote code execution via specially crafted input.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-05,Unknown,"This vulnerability affects an open-source component, third-party library, or a protocol used by different products. For more information, please see: https://github.com/geoserver/geoserver/security/advisories/GHSA-6jj6-gm7p-fcvv, https://github.com/geotools/geotools/pull/4797 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-36401",CWE-95
CVE-2024-38080,Microsoft,"Windows ","Microsoft Windows Hyper-V Privilege Escalation Vulnerability",2024-07-09,"Microsoft Windows Hyper-V contains a privilege escalation vulnerability that allows a local attacker with user permissions to gain SYSTEM privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-07-30,Unknown,"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080; https://nvd.nist.gov/vuln/detail/CVE-2024-38080",CWE-190
CVE-2024-38112,Microsoft,Windows,"Microsoft Windows MSHTML Platform Spoofing Vulnerability",2024-07-09,"Microsoft Windows MSHTML Platform contains a spoofing vulnerability that has a high impact to confidentiality, integrity, and availability.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-07-30,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112; https://nvd.nist.gov/vuln/detail/CVE-2024-38112",CWE-451
CVE-2024-32896,Android,Pixel,"Android Pixel Privilege Escalation Vulnerability",2024-06-13,"Android Pixel contains an unspecified vulnerability in the firmware that allows for privilege escalation.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-07-04,Unknown,"https://source.android.com/docs/security/bulletin/pixel/2024-06-01; https://nvd.nist.gov/vuln/detail/CVE-2024-32896",CWE-783
CVE-2024-30040,Microsoft,Windows,"Microsoft Windows MSHTML Platform Security Feature Bypass Vulnerability",2024-05-14,"Microsoft Windows MSHTML Platform contains an unspecified vulnerability that allows for a security feature bypass.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-06-04,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-30040; https://nvd.nist.gov/vuln/detail/CVE-2024-30040",CWE-20
CVE-2024-30051,Microsoft,"DWM Core Library"," Microsoft DWM Core Library Privilege Escalation Vulnerability",2024-05-14,"Microsoft DWM Core Library contains a privilege escalation vulnerability that allows an attacker to gain SYSTEM privileges.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-06-04,Known,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-30051; https://nvd.nist.gov/vuln/detail/CVE-2024-30051",CWE-122
CVE-2024-3400,"Palo Alto Networks",PAN-OS,"Palo Alto Networks PAN-OS Command Injection Vulnerability",2024-04-12,"Palo Alto Networks PAN-OS GlobalProtect feature contains a command injection vulnerability that allows an unauthenticated attacker to execute commands with root privileges on the firewall.","Apply mitigations per vendor instructions as they become available. Otherwise, users with vulnerable versions of affected devices should enable Threat Prevention IDs available from the vendor. See the vendor bulletin for more details and a patch release schedule.",2024-04-19,Known,"https://security.paloaltonetworks.com/CVE-2024-3400 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-3400","CWE-20, CWE-77"
CVE-2024-3273,D-Link,"Multiple NAS Devices","D-Link Multiple NAS Devices Command Injection Vulnerability",2024-04-11,"D-Link DNS-320L, DNS-325, DNS-327L, and DNS-340L contain a command injection vulnerability. When combined with CVE-2024-3272, this can lead to remote, unauthorized code execution.","This vulnerability affects legacy D-Link products. All associated hardware revisions have reached their end-of-life (EOL) or end-of-service (EOS) life cycle and should be retired and replaced per vendor instructions.",2024-05-02,Unknown,"https://supportannouncement.us.dlink.com/security/publication.aspx?name=SAP10383; https://nvd.nist.gov/vuln/detail/CVE-2024-3273",CWE-77
CVE-2024-3272,D-Link,"Multiple NAS Devices","D-Link Multiple NAS Devices Use of Hard-Coded Credentials Vulnerability",2024-04-11,"D-Link DNS-320L, DNS-325, DNS-327L, and DNS-340L contains a hard-coded credential that allows an attacker to conduct authenticated command injection, leading to remote, unauthorized code execution.","This vulnerability affects legacy D-Link products. All associated hardware revisions have reached their end-of-life (EOL) or end-of-service (EOS) life cycle and should be retired and replaced per vendor instructions.",2024-05-02,Unknown,"https://supportannouncement.us.dlink.com/security/publication.aspx?name=SAP10383; https://nvd.nist.gov/vuln/detail/CVE-2024-3272",CWE-798
