cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2024-27443,Synacor,"Zimbra Collaboration Suite (ZCS)","Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting (XSS) Vulnerability",2025-05-19,"Zimbra Collaboration contains a cross-site scripting (XSS) vulnerability in the CalendarInvite feature of the Zimbra webmail classic user interface. An attacker can exploit this vulnerability via an email message containing a crafted calendar header, leading to the execution of arbitrary JavaScript code.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-06-09,Unknown,"https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P46#Security_Fixes ; https://wiki.zimbra.com/wiki/Zimbra_Releases/9.0.0/P39#Security_Fixes ; https://wiki.zimbra.com/wiki/Zimbra_Releases/10.0.7#Security_Fixes ; https://nvd.nist.gov/vuln/detail/CVE-2024-27443",CWE-79
CVE-2024-27348,Apache,HugeGraph-Server,"Apache HugeGraph-Server Improper Access Control Vulnerability",2024-09-18,"Apache HugeGraph-Server contains an improper access control vulnerability that could allow a remote attacker to execute arbitrary code.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-10-09,Unknown,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see:  https://lists.apache.org/thread/nx6g6htyhpgtzsocybm242781o8w5kq9 ; https://nvd.nist.gov/vuln/detail/CVE-2024-27348",CWE-284
CVE-2024-23897,Jenkins,"Jenkins Command Line Interface (CLI)","Jenkins Command Line Interface (CLI) Path Traversal Vulnerability",2024-08-19,"Jenkins Command Line Interface (CLI) contains a path traversal vulnerability that allows attackers limited read access to certain files, which can lead to code execution.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-09,Known,"https://www.jenkins.io/security/advisory/2024-01-24/#SECURITY-3314; https://nvd.nist.gov/vuln/detail/CVE-2024-23897",CWE-27
CVE-2024-28986,SolarWinds,"Web Help Desk","SolarWinds Web Help Desk Deserialization of Untrusted Data Vulnerability",2024-08-15,"SolarWinds Web Help Desk contains a deserialization of untrusted data vulnerability that could allow for remote code execution.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-09-05,Unknown,"https://www.solarwinds.com/trust-center/security-advisories/cve-2024-28986; https://nvd.nist.gov/vuln/detail/CVE-2024-28986",CWE-502
CVE-2024-28995,SolarWinds,Serv-U,"SolarWinds Serv-U Path Traversal Vulnerability ",2024-07-17,"SolarWinds Serv-U contains a path traversal vulnerability that allows an attacker access to read sensitive files on the host machine.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-08-07,Unknown,"https://www.solarwinds.com/trust-center/security-advisories/cve-2024-28995; https://nvd.nist.gov/vuln/detail/CVE-2024-28995",CWE-22
CVE-2024-23692,Rejetto,"HTTP File Server","Rejetto HTTP File Server Improper Neutralization of Special Elements Used in a Template Engine Vulnerability",2024-07-09,"Rejetto HTTP File Server contains an improper neutralization of special elements used in a template engine vulnerability. This allows a remote, unauthenticated attacker to execute commands on the affected system by sending a specially crafted HTTP request.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-07-30,Unknown,"The patched Rejetto HTTP File Server (HFS) is version 3: https://github.com/rejetto/hfs?tab=readme-ov-file#installation, https://www.rejetto.com/hfs/ ;   https://nvd.nist.gov/vuln/detail/CVE-2024-23692",CWE-1336
CVE-2024-20399,Cisco,NX-OS,"Cisco NX-OS Command Injection Vulnerability",2024-07-02,"Cisco NX-OS contains a command injection vulnerability in the command line interface (CLI) that could allow an authenticated, local attacker to execute commands as root on the underlying operating system of an affected device.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-07-23,Unknown,"https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-nxos-cmd-injection-xD9OhyOP;   https://nvd.nist.gov/vuln/detail/CVE-2024-20399",CWE-78
CVE-2024-26169,Microsoft,Windows,"Microsoft Windows Error Reporting Service Improper Privilege Management Vulnerability",2024-06-13,"Microsoft Windows Error Reporting Service contains an improper privilege management vulnerability that allows a local attacker with user permissions to gain SYSTEM privileges.","Apply updates per vendor instructions or discontinue use of the product if updates are unavailable.",2024-07-04,Known,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-26169; https://nvd.nist.gov/vuln/detail/CVE-2024-26169",CWE-269
CVE-2024-24919,"Check Point","Quantum Security Gateways","Check Point Quantum Security Gateways Information Disclosure Vulnerability",2024-05-30,"Check Point Quantum Security Gateways contain an unspecified information disclosure vulnerability. The vulnerability potentially allows an attacker to access information on Gateways connected to the internet, with IPSec VPN, Remote Access VPN or Mobile Access enabled. This issue affects several product lines from Check Point, including CloudGuard Network, Quantum Scalable Chassis, Quantum Security Gateways, and Quantum Spark Appliances.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-06-20,Known,"https://support.checkpoint.com/results/sk/sk182336 ; https://nvd.nist.gov/vuln/detail/CVE-2024-24919",CWE-200
CVE-2024-29988,Microsoft,"SmartScreen Prompt","Microsoft SmartScreen Prompt Security Feature Bypass Vulnerability",2024-04-30,"Microsoft SmartScreen Prompt contains a security feature bypass vulnerability that allows an attacker to bypass the Mark of the Web (MotW) feature. This vulnerability can be chained with CVE-2023-38831 and CVE-2024-21412 to execute a malicious file.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-05-21,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-29988; https://nvd.nist.gov/vuln/detail/CVE-2024-29988",CWE-693
CVE-2024-20359,Cisco,"Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD)","Cisco ASA and FTD Privilege Escalation Vulnerability",2024-04-24,"Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain a privilege escalation vulnerability that can allow local privilege escalation from Administrator to root.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-05-01,Unknown,"https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-persist-rce-FLsNXF4h;  https://nvd.nist.gov/vuln/detail/CVE-2024-20359",CWE-94
CVE-2024-20353,Cisco,"Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD)","Cisco ASA and FTD Denial of Service Vulnerability",2024-04-24,"Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an infinite loop vulnerability that can lead to remote denial of service condition.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-05-01,Unknown,"https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-websrvs-dos-X8gNucD2;   https://nvd.nist.gov/vuln/detail/CVE-2024-20353",CWE-835
CVE-2024-29748,Android,Pixel,"Android Pixel Privilege Escalation Vulnerability",2024-04-04,"Android Pixel contains a privilege escalation vulnerability that allows an attacker to interrupt a factory reset triggered by a device admin app.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-04-25,Unknown,"https://source.android.com/docs/security/bulletin/pixel/2024-04-01; https://nvd.nist.gov/vuln/detail/CVE-2024-29748",CWE-280
CVE-2024-29745,Android,Pixel,"Android Pixel Information Disclosure Vulnerability",2024-04-04,"Android Pixel contains an information disclosure vulnerability in the fastboot firmware used to support unlocking, flashing, and locking affected devices.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-04-25,Unknown,"https://source.android.com/docs/security/bulletin/pixel/2024-04-01 ; https://nvd.nist.gov/vuln/detail/CVE-2024-29745",CWE-908
CVE-2024-27198,JetBrains,TeamCity,"JetBrains TeamCity Authentication Bypass Vulnerability",2024-03-07,"JetBrains TeamCity contains an authentication bypass vulnerability that allows an attacker to perform admin actions.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-28,Known,"https://www.jetbrains.com/help/teamcity/teamcity-2023-11-4-release-notes.html; https://nvd.nist.gov/vuln/detail/CVE-2024-27198",CWE-288
CVE-2024-23225,Apple,"Multiple Products","Apple Multiple Products Memory Corruption Vulnerability",2024-03-06,"Apple iOS, iPadOS, macOS, tvOS, watchOS, and visionOS kernel contain a memory corruption vulnerability that allows an attacker with arbitrary kernel read and write capability to bypass kernel memory protections.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-27,Unknown,"https://support.apple.com/en-us/HT214081, https://support.apple.com/en-us/HT214082, https://support.apple.com/en-us/HT214083, https://support.apple.com/en-us/HT214084, https://support.apple.com/en-us/HT214085, https://support.apple.com/en-us/HT214086, https://support.apple.com/en-us/HT214087, https://support.apple.com/en-us/HT214088 ;  https://nvd.nist.gov/vuln/detail/CVE-2024-23225",CWE-787
CVE-2024-23296,Apple,"Multiple Products","Apple Multiple Products Memory Corruption Vulnerability",2024-03-06,"Apple iOS, iPadOS, macOS, tvOS, and watchOS RTKit contain a memory corruption vulnerability that allows an attacker with arbitrary kernel read and write capability to bypass kernel memory protections.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-27,Unknown,"https://support.apple.com/en-us/HT214081, https://support.apple.com/en-us/HT214082, https://support.apple.com/en-us/HT214084, https://support.apple.com/en-us/HT214086, https://support.apple.com/en-us/HT214088  ;  https://nvd.nist.gov/vuln/detail/CVE-2024-23296",CWE-787
CVE-2024-21338,Microsoft,Windows,"Microsoft Windows Kernel Exposed IOCTL with Insufficient Access Control Vulnerability",2024-03-04,"Microsoft Windows Kernel contains an exposed IOCTL with insufficient access control vulnerability within the IOCTL (input and output control) dispatcher in appid.sys that allows a local attacker to achieve privilege escalation.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-25,Known,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21338; https://nvd.nist.gov/vuln/detail/CVE-2024-21338",CWE-822
CVE-2024-21410,Microsoft,"Exchange Server","Microsoft Exchange Server Privilege Escalation Vulnerability",2024-02-15,"Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-07,Unknown,"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21410; https://nvd.nist.gov/vuln/detail/CVE-2024-21410",CWE-287
CVE-2024-21412,Microsoft,Windows,"Microsoft Windows Internet Shortcut Files Security Feature Bypass Vulnerability",2024-02-13,"Microsoft Windows Internet Shortcut Files contains an unspecified vulnerability that allows for a security feature bypass.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-05,Known,"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-21412; https://nvd.nist.gov/vuln/detail/CVE-2024-21412",CWE-693
CVE-2024-21351,Microsoft,Windows,"Microsoft Windows SmartScreen Security Feature Bypass Vulnerability",2024-02-13,"Microsoft Windows SmartScreen contains a security feature bypass vulnerability that allows an attacker to bypass the SmartScreen user experience and inject code to potentially gain code execution, which could lead to some data exposure, lack of system availability, or both.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-03-05,Unknown,"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-21351; https://nvd.nist.gov/vuln/detail/CVE-2024-21351",CWE-94
CVE-2024-21762,Fortinet,FortiOS,"Fortinet FortiOS Out-of-Bound Write Vulnerability",2024-02-09,"Fortinet FortiOS contains an out-of-bound write vulnerability that allows a remote unauthenticated attacker to execute code or commands via specially crafted HTTP requests.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-02-16,Known,"https://fortiguard.fortinet.com/psirt/FG-IR-24-015 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-21762",CWE-787
CVE-2024-21893,Ivanti,"Connect Secure, Policy Secure, and Neurons","Ivanti Connect Secure, Policy Secure, and Neurons Server-Side Request Forgery (SSRF) Vulnerability",2024-01-31,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure), Ivanti Policy Secure, and Ivanti Neurons contain a server-side request forgery (SSRF) vulnerability in the SAML component that allows an attacker to access certain restricted resources without authentication.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-02-02,Known,"https://forums.ivanti.com/s/article/KB-CVE-2023-46805-Authentication-Bypass-CVE-2024-21887-Command-Injection-for-Ivanti-Connect-Secure-and-Ivanti-Policy-Secure-Gateways?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2024-21893",CWE-918
CVE-2024-23222,Apple,"Multiple Products","Apple Multiple Products WebKit Type Confusion Vulnerability",2024-01-23,"Apple iOS, iPadOS, macOS, tvOS, and Safari WebKit contain a type confusion vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-02-13,Unknown,"https://support.apple.com/en-us/HT214055,  https://support.apple.com/en-us/HT214056, https://support.apple.com/en-us/HT214057, https://support.apple.com/en-us/HT214058, https://support.apple.com/en-us/HT214059, https://support.apple.com/en-us/HT214061, https://support.apple.com/en-us/HT214063 ;  https://nvd.nist.gov/vuln/detail/CVE-2024-23222",CWE-843
CVE-2024-21887,Ivanti,"Connect Secure and Policy Secure","Ivanti Connect Secure and Policy Secure Command Injection Vulnerability",2024-01-10,"Ivanti Connect Secure (ICS, formerly known as Pulse Connect Secure) and Ivanti Policy Secure contain a command injection vulnerability in the web components of these products, which can allow an authenticated administrator to send crafted requests to execute code on affected appliances. This vulnerability can be leveraged in conjunction with CVE-2023-46805, an authenticated bypass issue.","Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.",2024-01-22,Known,"Please apply mitigations per vendor instructions. For more information, please see: https://forums.ivanti.com/s/article/KB-CVE-2023-46805-Authentication-Bypass-CVE-2024-21887-Command-Injection-for-Ivanti-Connect-Secure-and-Ivanti-Policy-Secure-Gateways?language=en_US ; https://nvd.nist.gov/vuln/detail/CVE-2024-21887",CWE-77
